[2025-12-22 15:18:07] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna c.dia_vencimento não existe\nLINE 12:                     c.dia_vencimento,\n                             ^","error_code":"42703","error_info":["42703",7,"ERRO:  coluna c.dia_vencimento não existe\nLINE 12:                     c.dia_vencimento,\n                             ^"],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":151,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(151): PDOStatement->execute()\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&ano_referencia=2025&empreendimento_id=2&modulo_id=1&contrato=123","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","ano_referencia":"2025","empreendimento_id":"2","modulo_id":"1","contrato":"123"},"usuario":"admin","usuario_id":1}
[2025-12-22 15:20:14] [ERRO] Erro ao verificar parcelas | IP: ::1 | {"exception_message":"SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna c.dia_vencimento não existe\nLINE 13:                         c.dia_vencimento,\n                                 ^","exception_code":"42703","exception_file":"C:\\xampp\\htdocs\\SISIPTU\\php\\gerar_iptu_api.php","exception_line":220,"exception_trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\gerar_iptu_api.php(220): PDOStatement->execute()\n#1 {main}","exception_class":"PDOException","request_uri":"\/SISIPTU\/php\/gerar_iptu_api.php?action=verificar-parcelas&empreendimento_id=2&modulo_id=1&contrato=123&ano_referencia=2025","request_method":"GET","post_data":null,"get_data":{"action":"verificar-parcelas","empreendimento_id":"2","modulo_id":"1","contrato":"123","ano_referencia":"2025"}}
[2025-12-22 15:20:14] [ERRO] Erro ao listar cobranças | IP: ::1 | {"exception_message":"SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna c.dia_vencimento não existe\nLINE 13:                         c.dia_vencimento,\n                                 ^","exception_code":"42703","exception_file":"C:\\xampp\\htdocs\\SISIPTU\\php\\gerar_iptu_api.php","exception_line":119,"exception_trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\gerar_iptu_api.php(119): PDOStatement->execute()\n#1 {main}","exception_class":"PDOException","request_uri":"\/SISIPTU\/php\/gerar_iptu_api.php?action=list&empreendimento_id=2&modulo_id=1&contrato=123&ano_referencia=2025","request_method":"GET","post_data":null,"get_data":{"action":"list","empreendimento_id":"2","modulo_id":"1","contrato":"123","ano_referencia":"2025"}}
[2025-12-22 15:23:01] [ERRO] Erro ao verificar parcelas | IP: ::1 | {"exception_message":"SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna c.dataVencimento não existe\nLINE 13:                         c.\"dataVencimento\",\n                                 ^\nHINT:  Talvez você queira fazer referência à coluna \"c.Datavencimento\".","exception_code":"42703","exception_file":"C:\\xampp\\htdocs\\SISIPTU\\php\\gerar_iptu_api.php","exception_line":220,"exception_trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\gerar_iptu_api.php(220): PDOStatement->execute()\n#1 {main}","exception_class":"PDOException","request_uri":"\/SISIPTU\/php\/gerar_iptu_api.php?action=verificar-parcelas&empreendimento_id=2&modulo_id=1&contrato=123&ano_referencia=2025","request_method":"GET","post_data":null,"get_data":{"action":"verificar-parcelas","empreendimento_id":"2","modulo_id":"1","contrato":"123","ano_referencia":"2025"}}
[2025-12-22 15:23:01] [ERRO] Erro ao listar cobranças | IP: ::1 | {"exception_message":"SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna c.dataVencimento não existe\nLINE 13:                         c.\"dataVencimento\",\n                                 ^\nHINT:  Talvez você queira fazer referência à coluna \"c.Datavencimento\".","exception_code":"42703","exception_file":"C:\\xampp\\htdocs\\SISIPTU\\php\\gerar_iptu_api.php","exception_line":119,"exception_trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\gerar_iptu_api.php(119): PDOStatement->execute()\n#1 {main}","exception_class":"PDOException","request_uri":"\/SISIPTU\/php\/gerar_iptu_api.php?action=list&empreendimento_id=2&modulo_id=1&contrato=123&ano_referencia=2025","request_method":"GET","post_data":null,"get_data":{"action":"list","empreendimento_id":"2","modulo_id":"1","contrato":"123","ano_referencia":"2025"}}
[2025-12-22 15:23:29] [ERRO] Erro ao verificar parcelas | IP: ::1 | {"exception_message":"SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna c.dataVencimento não existe\nLINE 13:                         c.\"dataVencimento\",\n                                 ^\nHINT:  Talvez você queira fazer referência à coluna \"c.Datavencimento\".","exception_code":"42703","exception_file":"C:\\xampp\\htdocs\\SISIPTU\\php\\gerar_iptu_api.php","exception_line":220,"exception_trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\gerar_iptu_api.php(220): PDOStatement->execute()\n#1 {main}","exception_class":"PDOException","request_uri":"\/SISIPTU\/php\/gerar_iptu_api.php?action=verificar-parcelas&empreendimento_id=2&modulo_id=1&contrato=123&ano_referencia=2025","request_method":"GET","post_data":null,"get_data":{"action":"verificar-parcelas","empreendimento_id":"2","modulo_id":"1","contrato":"123","ano_referencia":"2025"}}
[2025-12-22 15:23:30] [ERRO] Erro ao listar cobranças | IP: ::1 | {"exception_message":"SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna c.dataVencimento não existe\nLINE 13:                         c.\"dataVencimento\",\n                                 ^\nHINT:  Talvez você queira fazer referência à coluna \"c.Datavencimento\".","exception_code":"42703","exception_file":"C:\\xampp\\htdocs\\SISIPTU\\php\\gerar_iptu_api.php","exception_line":119,"exception_trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\gerar_iptu_api.php(119): PDOStatement->execute()\n#1 {main}","exception_class":"PDOException","request_uri":"\/SISIPTU\/php\/gerar_iptu_api.php?action=list&empreendimento_id=2&modulo_id=1&contrato=123&ano_referencia=2025","request_method":"GET","post_data":null,"get_data":{"action":"list","empreendimento_id":"2","modulo_id":"1","contrato":"123","ano_referencia":"2025"}}
[2025-12-22 15:24:03] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna c.dataVencimento não existe\nLINE 12:                     c.\"dataVencimento\",\n                             ^\nHINT:  Talvez você queira fazer referência à coluna \"c.Datavencimento\".","error_code":"42703","error_info":["42703",7,"ERRO:  coluna c.dataVencimento não existe\nLINE 12:                     c.\"dataVencimento\",\n                             ^\nHINT:  Talvez você queira fazer referência à coluna \"c.Datavencimento\"."],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":151,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(151): PDOStatement->execute()\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&ano_referencia=2025&empreendimento_id=2&modulo_id=1&contrato=123","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","ano_referencia":"2025","empreendimento_id":"2","modulo_id":"1","contrato":"123"},"usuario":"admin","usuario_id":1}
[2025-12-22 15:25:56] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna c.datavencimento não existe\nLINE 12:                     c.datavencimento,\n                             ^\nHINT:  Talvez você queira fazer referência à coluna \"c.Datavencimento\".","error_code":"42703","error_info":["42703",7,"ERRO:  coluna c.datavencimento não existe\nLINE 12:                     c.datavencimento,\n                             ^\nHINT:  Talvez você queira fazer referência à coluna \"c.Datavencimento\"."],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":151,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(151): PDOStatement->execute()\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&ano_referencia=2025&empreendimento_id=2&modulo_id=1&contrato=123","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","ano_referencia":"2025","empreendimento_id":"2","modulo_id":"1","contrato":"123"},"usuario":"admin","usuario_id":1}
[2025-12-22 18:01:18] [ERRO] Erro na pesquisa de contratos | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna c.dia_vencimento não existe\nLINE 18:                     c.dia_vencimento,\n                             ^","trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\pesquisar_contratos_api.php(129): PDOStatement->execute()\n#1 {main}","request_uri":"\/SISIPTU\/php\/pesquisar_contratos_api.php?action=pesquisar&contrato=123","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","contrato":"123"}}
[2025-12-22 18:03:44] [ERRO] Erro na manutenção de IPTU | IP: ::1 | {"action":"pesquisar","error":"SQLSTATE[HY093]: Invalid parameter number: :empreendimento_id","error_code":"HY093","error_info":["HY093",null,":empreendimento_id"],"file":"C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php","line":183,"trace":"#0 C:\\xampp\\htdocs\\SISIPTU\\php\\manutencao_iptu_api.php(183): PDOStatement->bindParam(':empreendimento...', NULL, 1)\n#1 {main}","request_uri":"\/SISIPTU\/php\/manutencao_iptu_api.php?action=pesquisar&filtro_titulo=todos&ordem=parcela","request_method":"GET","post_data":null,"get_data":{"action":"pesquisar","filtro_titulo":"todos","ordem":"parcela"},"usuario":"admin","usuario_id":1}
